# .test .cputime .temperature .time_mat1 .time_mat2
151 0.164024  2.435 0.000706 0.000864
152 0.164914  3.409 0.000775 0.000878
153 0.165702  3.409 0.000723 0.000887
154 0.167479  3.409 0.000772 0.000900
155 0.168147  2.435 0.000782 0.000939
156 0.167026  2.435 0.000792 0.001027
157 0.169968  2.435 0.000760 0.000941
158 0.171155  3.409 0.000812 0.000946
159 0.171675  3.409 0.000796 0.001035
160 0.173178  2.922 0.000817 0.000970
161 0.173927  3.409 0.000820 0.001096
162 0.175394  2.922 0.000839 0.000996
163 0.174841  2.435 0.000843 0.001007
164 0.175952  2.435 0.000904 0.001022
165 0.176907  1.948 0.000859 0.001036
166 0.178399  2.435 0.000882 0.001046
167 0.179239  2.435 0.000882 0.001063
168 0.180666  2.922 0.000908 0.001071
169 0.181765  2.922 0.000898 0.001103
170 0.183061  3.896 0.000985 0.001100
171 0.184655  3.409 0.000924 0.001110
172 0.183794  2.922 0.000929 0.001127
173 0.185552  3.409 0.000993 0.001169
174 0.186441  2.435 0.001022 0.001152
175 0.187604  2.922 0.001048 0.001190
176 0.189359  1.948 0.000978 0.001185
177 0.190474  2.922 0.000994 0.001191
178 0.191916  2.922 0.001052 0.001261
179 0.193382  2.922 0.001092 0.001221
180 0.193436  3.409 0.001021 0.001239
181 0.193934  3.409 0.001044 0.001245
182 0.194762  2.922 0.001042 0.001287
183 0.197181  1.948 0.001097 0.001281
184 0.197748  2.922 0.001045 0.001291
185 0.197800  2.435 0.001137 0.001311
186 0.199698  2.922 0.001069 0.001337
187 0.200988  3.896 0.001124 0.001343
188 0.201802  2.922 0.001093 0.001350
189 0.202127  2.922 0.001231 0.001401
190 0.203666  2.922 0.001117 0.001382
191 0.204766  3.896 0.001164 0.001408
192 0.206322  3.896 0.001138 0.001419
193 0.205839  3.409 0.001267 0.001437
194 0.208308  2.922 0.001163 0.001459
195 0.208582  4.870 0.001258 0.001462
196 0.210844  2.922 0.001248 0.001486
197 0.209317  3.896 0.001320 0.001498
198 0.212376  3.409 0.001260 0.001553
199 0.213121  2.435 0.001266 0.001519
200 0.213306  3.896 0.001237 0.001546
201 0.215246  3.896 0.001399 0.001567
202 0.215761  3.409 0.001268 0.001717
203 0.216542  2.922 0.001325 0.001685
204 0.217295  2.435 0.001344 0.001621
205 0.219494  3.896 0.001336 0.001637
206 0.220945  3.896 0.001356 0.001723
207 0.221751  2.922 0.001417 0.001669
208 0.221684  3.896 0.001409 0.001684
209 0.222756  3.409 0.001390 0.001703
210 0.223640  3.409 0.001430 0.001811
211 0.225182  3.409 0.001411 0.001805
212 0.225554  3.896 0.001418 0.001752
213 0.226481  3.896 0.001435 0.001779
214 0.227559  3.896 0.001442 0.001921
215 0.229892  3.409 0.001503 0.001813
216 0.227784  4.383 0.001465 0.001923
217 0.230388  4.383 0.001496 0.001948
218 0.232443  4.383 0.001495 0.001982
219 0.233746  4.383 0.001516 0.001885
220 0.234521  4.383 0.001642 0.001974
221 0.235182  4.383 0.001676 0.001929
222 0.235576  3.896 0.001708 0.002048
223 0.237525  2.922 0.001565 0.002024
224 0.237750  3.409 0.001640 0.002066
225 0.239216  4.870 0.001597 0.002162
226 0.240267  4.383 0.001674 0.002114
227 0.241579  2.922 0.001626 0.002080
228 0.241667  3.409 0.001701 0.002109
229 0.242379  3.896 0.001661 0.002149
230 0.244093  3.409 0.001776 0.002112
231 0.244848  4.383 0.001684 0.002154
232 0.245102  3.896 0.001763 0.002187
233 0.246981  4.870 0.001765 0.002173
234 0.247003  3.896 0.001775 0.002369
235 0.248211  3.896 0.001722 0.002282
236 0.248372  3.409 0.001881 0.002267
237 0.250185  3.409 0.001800 0.002467
238 0.251479  4.383 0.001875 0.002414
239 0.251760  4.870 0.001846 0.002378
240 0.252371  4.870 0.001949 0.002468
241 0.254215  3.896 0.001864 0.002401
242 0.255225  4.383 0.001979 0.002396
243 0.256398  4.383 0.001848 0.002516
244 0.257026  2.922 0.002067 0.002464
